location,age of democracy on 2015
Afghanistan,
Albania,19
Algeria,
Andorra,22
Angola,
Antigua and Barbuda,12
Argentina,33
Armenia,
Australia,115
Austria,70
Azerbaijan,
Bahamas,43
Bahrain,
Bangladesh,
Barbados,50
Belarus,
Belgium,122
Belize,35
Benin,25
Bhutan,
Bolivia,34
Bosnia and Herzegovina,24
Botswana,50
Brazil,31
Brunei,
Bulgaria,26
Burkina Faso,
Burundi,11
Cambodia,
Cameroon,
Canada,149
Cape Verde,25
Central African Republic,
Chad,
Chile,26
China,
Colombia,58
Comoros,10
Congo,
Costa Rica,67
Cote d'Ivoire,
Croatia,16
Cuba,
Cyprus,39
Czech Republic,23
Democratic Republic of Congo,
Denmark,115
Djibouti,
Dominica,38
Dominican Republic,50
Ecuador,13
Egypt,
El Salvador,32
Equatorial Guinea,
Eritrea,
Estonia,25
Ethiopia,
Fiji,29
Finland,99
France,70
Gabon,
Gambia,
Georgia,12
Germany,26
Ghana,19
Greece,42
Grenada,32
Guatemala,30
Guinea,
Guinea-Bissau,
Guyana,24
Haiti,
Honduras,6
Hungary,26
Iceland,98
India,66
Indonesia,17
Iran,
Iraq,
Ireland,94
Israel,68
Italy,70
Jamaica,54
Japan,64
Jordan,
Kazakhstan,
Kenya,14
Kiribati,19
Kosovo,4
Kuwait,
Kyrgyzstan,
Laos,
Latvia,23
Leban,
Lesotho,14
Liberia,10
Libya,
Liechtenstein,25
Lithuania,24
Luxembourg,126
Macedonia,25
Madagascar,
Malawi,22
Malaysia,
Maldives,
Mali,
Malta,52
Marshall Islands,24
Mauritania,
Mauritius,48
Mexico,16
Micronesia (country),24
Moldova,25
Monaco,22
Mongolia,26
Montenegro,10
Morocco,
Mozambique,
Myanmar,
Namibia,
Nauru,48
Nepal,8
Netherlands,119
New Zealand,159
Nicaragua,32
Niger,7
Nigeria,33
North Korea,
Norway,116
Oman,
Pakistan,8
Palau,21
Panama,25
Papua New Guinea,41
Paraguay,13
Peru,15
Philippines,30
Poland,27
Portugal,40
Qatar,
Romania,25
Russia,
Rwanda,
Saint Kitts and Nevis,32
Saint Lucia,37
Saint Vincent and the Grenadines,37
Samoa,
San Mari,71
Sao Tome and Principe,25
Saudi Arabia,
Senegal,16
Serbia,10
Seychelles,
Sierra Leone,14
Singapore,
Slovakia,23
Slovenia,25
Solomon Islands,10
Somalia,
South Africa,22
South Korea,28
South Sudan,
Spain,39
Sri Lanka,
Sudan,
Suriname,25
Swaziland,
Sweden,105
Switzerland,168
Syria,
Taiwan,20
Tajikistan,
Tanzania,
Thailand,
Timor,14
Togo,
Tonga,
Trinidad and Tobago,54
Tunisia,60
Turkey,33
Turkmenistan,
Tuvalu,38
Uganda,
Ukraine,25
United Arab Emirates,
United Kingdom,131
United States,216
Uruguay,31
Uzbekistan,
Vanuatu,36
Venezuela,
Vietnam,
Yemen,
Zambia,8
Zimbabwe,
