location,continent,population,gdp_per_capita
Afghanistan,Asia,38928341,1803.987
Albania,Europe,2877800,11803.431
Algeria,Africa,43851043,13913.839
Andorra,Europe,77265,
Angola,Africa,32866268,5819.495
Anguilla,North America,15002,
Antigua and Barbuda,North America,97928,21490.943
Argentina,South America,45195777,18933.907
Armenia,Asia,2963234,8787.58
Aruba,North America,106766,35973.781
Australia,Oceania,25499881,44648.71
Austria,Europe,9006400,45436.686
Azerbaijan,Asia,10139175,15847.419
Bahamas,North America,393248,27717.847
Bahrain,Asia,1701583,43290.705
Bangladesh,Asia,164689383,3523.984
Barbados,North America,287371,16978.068
Belarus,Europe,9449321,17167.967
Belgium,Europe,11589616,42658.576
Belize,North America,397621,7824.362
Benin,Africa,12123198,2064.236
Bermuda,North America,62273,50669.315
Bhutan,Asia,771612,8708.597
Bolivia,South America,11673029,6885.829
Bonaire Sint Eustatius and Saba,North America,26221,
Bosnia and Herzegovina,Europe,3280815,11713.895
Botswana,Africa,2351625,15807.374
Brazil,South America,212559409,14103.452
British Virgin Islands,North America,30237,
Brunei,Asia,437483,71809.251
Bulgaria,Europe,6948445,18563.307
Burkina Faso,Africa,20903278,1703.102
Burundi,Africa,11890781,702.225
Cambodia,Asia,16718971,3645.07
Cameroon,Africa,26545864,3364.926
Canada,North America,37742157,44017.591
Cape Verde,Africa,555988,6222.554
Cayman Islands,North America,65720,49903.029
Central African Republic,Africa,4829764,661.24
Chad,Africa,16425859,1768.153
Chile,South America,19116209,22767.037
China,Asia,1439323774,15308.712
Colombia,South America,50882884,13254.949
Comoros,Africa,869595,1413.89
Congo,Africa,5518092,4881.406
Costa Rica,North America,5094114,15524.995
Cote d'Ivoire,Africa,26378275,3601.006
Croatia,Europe,4105268,22669.797
Cuba,North America,11326616,
Curacao,North America,164100,
Cyprus,Europe,875899,32415.132
Czech Republic,Europe,10708982,32605.906
Democratic Republic of Congo,Africa,89561404,808.133
Denmark,Europe,5792203,46682.515
Djibouti,Africa,988002,2705.406
Dominica,North America,71991,9673.367
Dominican Republic,North America,10847904,14600.861
Ecuador,South America,17643060,10581.936
Egypt,Africa,102334403,10550.206
El Salvador,North America,6486201,7292.458
Equatorial Guinea,Africa,1402985,22604.873
Eritrea,Africa,3546427,1510.459
Estonia,Europe,1326539,29481.252
Ethiopia,Africa,114963583,1729.927
Faeroe Islands,Europe,48865,
Falkland Islands,South America,3483,
Fiji,Oceania,896444,8702.975
Finland,Europe,5540718,40585.721
France,Europe,65273512,38605.671
French Polynesia,Oceania,280904,
Gabon,Africa,2225728,16562.413
Gambia,Africa,2416664,1561.767
Georgia,Asia,3989175,9745.079
Germany,Europe,83783945,45229.245
Ghana,Africa,31072945,4227.63
Gibraltar,Europe,33691,
Greece,Europe,10423056,24574.382
Greenland,North America,56772,
Grenada,North America,112519,13593.877
Guam,Oceania,168783,
Guatemala,North America,17915567,7423.808
Guernsey,Europe,67052,
Guinea,Africa,13132792,1998.926
Guinea-Bissau,Africa,1967998,1548.675
Guyana,South America,786559,7435.047
Haiti,North America,11402533,1653.173
Honduras,North America,9904608,4541.795
Hong Kong,Asia,7496988,56054.92
Hungary,Europe,9660350,26777.561
Iceland,Europe,341250,46482.958
India,Asia,1380004385,6426.674
Indonesia,Asia,273523621,11188.744
Iran,Asia,83992953,19082.62
Iraq,Asia,40222503,15663.986
Ireland,Europe,4937796,67335.293
